,ingrediente,qtde,ENERGIA (kcal),PROTEÍNA (g),LIPÍDEOS (g),CARBOIDRATO (g),FIBRA ALIMENTAR (g),CÁLCIO (mg),FÓSFORO (mg),FERRO (mg),SÓDIO (mg),POTÁSSIO (mg),"VIT, C (mg)",FONTE
774,Suco de cajú,25.0,0.0,0.48125,0.154,0.0,0.814666666666666,0.839333333333333,0.0,0.146666666666666,0.0,0.0,0.0,"Caju, polpa, congelada/TACO"
776,Taioba refogada,100.0,47.13,2.11,2.75,4.91,2.8,140.0,30.0,1.16,16.0,116.0,18.2,Taioba refogada DIETBOX/IBGE
778,Tapioca seca,8.0,341.0,0.19,0.02,88.7,0.7,20.0,7.0,1.59,1.0,11.0,0.0,Tapioca seca DIETBOX/TUCUNDUVA
779,TCM,5.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Azeite, de oliva, extra virgem/TACO"
780,Tomate,6.0,0.0,0.0,0.173333333333333,0.0,0.0,6.94,0.0,0.236666666666666,1.02,0.0,0.0,"Tomate, com semente, cru/TACO"
784,Tomate ,5.0,0.0,0.810416666666666,0.0,0.0,0.0,0.0,0.0,0.290333333333333,0.0,0.0,0.0,"Tomate, salada/TACO"
786,"Tomate com semente, cru",5.0,0.0,0.0,0.173333333333333,0.0,0.0,6.94,0.0,0.236666666666666,1.02,0.0,0.0,"Tomate, com semente, cru/TACO"
789,Tomate cru com semente,10.0,0.0,0.0,0.173333333333333,0.0,0.0,6.94,0.0,0.236666666666666,1.02,0.0,0.0,"Tomate, com semente, cru/TACO"
790,Tomate salada,25.0,0.0,0.810416666666666,0.0,0.0,0.0,0.0,0.0,0.290333333333333,0.0,0.0,0.0,"Tomate, salada/TACO"
795,Tomate salada em cubinhos,25.0,0.0,0.810416666666666,0.0,0.0,0.0,0.0,0.0,0.290333333333333,0.0,0.0,0.0,"Tomate, salada/TACO"
797,Trigo,8.0,0.0,0.0,0.0,0.0,0.0,0.0,114.74,0.95,0.736666666666666,0.0,0.0,Farinha de trigo/TACO
799,Uva passas,5.0,299.0,2.3,0.5,71.4,0.0,60.0,0.0,2.99,0.0,0.0,0.0,Tabela para avaliação de consumo alimentar em medidas caseiras ( GF)
800,Uva rubi crua,100.0,0.0,0.608333333333333,0.157,0.0,0.933666666666666,0.0,0.0,0.170666666666666,0.0,0.0,1863.0,"Uva, Rubi, crua/ TACO"
801,"Uva, Rubi, crua",100.0,0.0,0.608333333333333,0.157,0.0,0.933666666666666,0.0,0.0,0.170666666666666,0.0,0.0,1863.0,"Uva, Rubi, crua/ TACO"
802,Vagem cozida,15.0,35.0,1.9,0.28,7.9,3.2,46.0,39.0,1.28,3.0,299.0,9.7,Vagem cozida DIETBOX/TUCUNDUVA
811,Vinagre,8.0,14.0,0.0,0.0,5.91,0.0,6.0,9.01,0.6,1.01,100.0,0.0,Vinagre/DIETBOX/Tucunduva
812,Vinagrete,20.0,76.79,0.65,6.21,3.68,0.93,19.92,19.03,0.65,0.15,156.7,13.73,Vinagrete DIETBOX/IBGE
815,Vitamina HPHC,160.0,0.0,0.0,0.0,0.0,0.355849652777777,0.0,0.0,0.921510590277777,0.0,0.0,0.0,Vitamina HPHC/ MANUAL DE SUPLEMENTOS (Utilizou-se a média do valor nutricional de todas as vitaminas por 100ml)
